,PROVINCIA,CANTON,MES,DIA,HORA,CLASE,CAUSA,ZONA,NUM_LESIONADO,NUM_FALLECIDO,TOTAL_VICTIMAS,Nombre_Provincia,Nombre_Canton,Nombre_Clase,Nombre_Causa
0,18,1801,1,5,4,4,1,1,0,0,0,TUNGURAHUA,AMBATO,ESTRELLAMIENTOS,EMBRIAGUEZ O DROGA
1,18,1801,1,5,14,4,1,1,0,0,0,TUNGURAHUA,AMBATO,ESTRELLAMIENTOS,EMBRIAGUEZ O DROGA
2,18,1801,1,5,6,3,1,2,0,0,0,TUNGURAHUA,AMBATO,CHOQUES,EMBRIAGUEZ O DROGA
3,18,1801,1,5,11,4,1,1,0,0,0,TUNGURAHUA,AMBATO,ESTRELLAMIENTOS,EMBRIAGUEZ O DROGA
4,18,1801,1,5,22,4,10,2,3,0,3,TUNGURAHUA,AMBATO,ESTRELLAMIENTOS,OTRAS CAUSAS
5,18,1801,1,5,23,3,7,1,2,0,2,TUNGURAHUA,AMBATO,CHOQUES,NO RESPETA LAS SEÑALES DE TRÁNSITO
6,18,1801,1,5,11,3,7,1,0,0,0,TUNGURAHUA,AMBATO,CHOQUES,NO RESPETA LAS SEÑALES DE TRÁNSITO
7,18,1801,1,7,5,3,1,1,2,0,2,TUNGURAHUA,AMBATO,CHOQUES,EMBRIAGUEZ O DROGA
8,18,1801,1,7,5,1,1,1,1,0,1,TUNGURAHUA,AMBATO,ATROPELLOS,EMBRIAGUEZ O DROGA
9,18,1801,1,7,13,3,7,1,0,0,0,TUNGURAHUA,AMBATO,CHOQUES,NO RESPETA LAS SEÑALES DE TRÁNSITO
10,18,1801,1,7,12,1,1,1,0,0,0,TUNGURAHUA,AMBATO,ATROPELLOS,EMBRIAGUEZ O DROGA
11,18,1801,1,7,19,5,4,1,0,0,0,TUNGURAHUA,AMBATO,ROZAMIENTOS,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
12,18,1801,1,1,5,3,7,1,0,1,1,TUNGURAHUA,AMBATO,CHOQUES,NO RESPETA LAS SEÑALES DE TRÁNSITO
13,18,1801,1,1,13,1,3,1,0,0,0,TUNGURAHUA,AMBATO,ATROPELLOS,EXCESO VELOCIDAD
14,18,1801,1,1,19,4,4,1,0,0,0,TUNGURAHUA,AMBATO,ESTRELLAMIENTOS,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
15,18,1801,1,2,7,1,5,1,1,0,1,TUNGURAHUA,AMBATO,ATROPELLOS,IMPRUDENCIA  DEL PEATÓN
16,18,1801,1,2,10,3,6,1,0,0,0,TUNGURAHUA,AMBATO,CHOQUES,DAÑOS MECÁNICOS
17,18,1801,1,2,21,3,4,1,0,0,0,TUNGURAHUA,AMBATO,CHOQUES,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
18,18,1801,1,2,23,4,4,1,0,0,0,TUNGURAHUA,AMBATO,ESTRELLAMIENTOS,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
19,18,1801,1,3,13,3,7,1,3,0,3,TUNGURAHUA,AMBATO,CHOQUES,NO RESPETA LAS SEÑALES DE TRÁNSITO
20,18,1801,1,3,20,4,1,2,1,0,1,TUNGURAHUA,AMBATO,ESTRELLAMIENTOS,EMBRIAGUEZ O DROGA
21,18,1801,1,5,6,3,7,1,2,0,2,TUNGURAHUA,AMBATO,CHOQUES,NO RESPETA LAS SEÑALES DE TRÁNSITO
22,18,1801,1,5,7,1,5,1,0,0,0,TUNGURAHUA,AMBATO,ATROPELLOS,IMPRUDENCIA  DEL PEATÓN
23,18,1801,1,5,12,1,5,1,0,0,0,TUNGURAHUA,AMBATO,ATROPELLOS,IMPRUDENCIA  DEL PEATÓN
24,18,1801,1,5,16,1,5,1,1,0,1,TUNGURAHUA,AMBATO,ATROPELLOS,IMPRUDENCIA  DEL PEATÓN
25,18,1801,1,6,2,3,1,1,1,0,1,TUNGURAHUA,AMBATO,CHOQUES,EMBRIAGUEZ O DROGA
26,18,1801,1,6,0,4,1,1,0,0,0,TUNGURAHUA,AMBATO,ESTRELLAMIENTOS,EMBRIAGUEZ O DROGA
27,18,1801,1,6,13,1,3,2,1,0,1,TUNGURAHUA,AMBATO,ATROPELLOS,EXCESO VELOCIDAD
28,18,1801,1,6,17,3,6,1,0,0,0,TUNGURAHUA,AMBATO,CHOQUES,DAÑOS MECÁNICOS
29,18,1801,1,6,21,3,2,1,1,0,1,TUNGURAHUA,AMBATO,CHOQUES,MAL REBASAMIENTO INVADIR CARRIL
30,18,1801,1,7,3,3,3,2,2,0,2,TUNGURAHUA,AMBATO,CHOQUES,EXCESO VELOCIDAD
31,18,1801,1,7,7,4,1,1,0,0,0,TUNGURAHUA,AMBATO,ESTRELLAMIENTOS,EMBRIAGUEZ O DROGA
32,18,1801,1,7,13,3,7,1,0,0,0,TUNGURAHUA,AMBATO,CHOQUES,NO RESPETA LAS SEÑALES DE TRÁNSITO
33,18,1801,1,7,17,4,3,1,0,0,0,TUNGURAHUA,AMBATO,ESTRELLAMIENTOS,EXCESO VELOCIDAD
