ciudad,provincia,latitud,longitud
"Abanico","Morona-Santiago",-2.1166666666666667,-78.16666666666667
"Abanin","El Oro",-3.3333333333333335,-79.5
"Abdon Calderon","Manabí",-1.0333333333333334,-80.33333333333333
"Abdon Calderon","Sucumbios",0.09277777777777778,-76.89888888888889
"Abdon Calderon","Azuay",-3.2666666666666666,-79.26666666666667
"Acacia","Guayas",-2.216666666666667,-79.875
"Achiote","Los Ríos",-1.2166666666666668,-79.51666666666667
"Achiote","Los Ríos",-1.6666666666666665,-79.65
"Achote","Guayas",-1.9166666666666665,-79.63333333333334
"Achuentza","Morona-Santiago",-2.830833333333333,-77.76027777777777
"Achuntza","Zamora-Chinchipe",-3.6972222222222224,-78.55833333333334
"Achupallas","Chimborazo",-2.2666666666666666,-78.73333333333333
"Achupallas","Tungurahua",-1.1333333333333333,-78.46666666666667
"Achupallas","Tungurahua",-1.3,-78.56666666666666
"Africa","Esmeraldas",1.075,-79.28333333333333
"Africa","Manabí",-0.7333333333333333,-80.31666666666666
"Agoyan","Tungurahua",-1.3833333333333333,-78.31666666666666
"Agua Blanca","Manabí",-1.5333333333333332,-80.73333333333333
"Agua Caliente","Pichincha",-0.43333333333333335,-78.66666666666667
"Agua Fria","Manabí",-0.9,-80.13333333333334
"Agua Fria","Manabí",-1.3666666666666667,-80.4
"Aguacatal","Los Ríos",-1.3333333333333333,-79.65
"Aguacatal","Manabí",-1.6166666666666667,-80.43333333333334
"Aguada","Guayas",-2.9833333333333334,-80.18333333333334
"Aguadita","Guayas",-2.1333333333333333,-80.6
"Aguahedionda","Loja",-3.966666666666667,-79.23333333333333
"Aguapiedra","Guayas",-2.716666666666667,-80.08333333333333
"Aguarico","Sucumbios",0.05,-77.36666666666666
"Aguarico","Sucumbios",-0.2833333333333333,-75.86666666666666
"Aguarico Tres","Sucumbios",0.01888888888888889,-76.66250000000001
"Aguas Aires","Guayas",-2.183333333333333,-79.98333333333333
"Aguas Blancas","Azuay",-2.8,-78.73333333333333
"Aguas Blancas","Guayas",-1.7833333333333332,-79.91666666666667
"Aguas Blancas Chico","Sucumbios",0.13805555555555554,-76.99027777777778
"Aguas Verdes","Guayas",-2.3,-80.26666666666667
"Aguas Verdes","El Oro",-3.5,-80.28333333333333
"Aguel","Carchi",0.8833333333333333,-78.08333333333333
"Aguirre","Pichincha",0.11666666666666667,-78.75
"Ahuaca del Carmen","Loja",-4.3,-79.55
"Ahuano","Napo",-1.0666666666666667,-77.51666666666667
"Aichabug","Chimborazo",-1.7166666666666668,-78.73333333333333
"Ajilanga","Loja",-4.25,-79.61666666666666
"Ajoshuaico","Azuay",-3.0,-78.9
"Alamor","Loja",-4.033333333333333,-80.03333333333333
"Alangasi","Pichincha",-0.3,-78.41666666666667
"Alao","Chimborazo",-1.9,-78.48333333333333
"Alaquez","Cotopaxi",-0.8666666666666667,-78.6
