frequency,lat,lon
60,-1.7166666666666668,-79.96666666666667
40,-1.8333333333333335,-80.23333333333333
263,-1.95,-79.73333333333333
217,-1.5,-79.9
510,-2.1166666666666667,-79.6
29,-1.6333333333333333,-79.96666666666667
92,-2.216666666666667,-79.48333333333333
38,-1.829444,
34,-2.9166666666666665,-79.81666666666666
4808,-2.1666666666666665,-79.9
297,-1.8666666666666667,-79.93333333333334
655,-2.2,-79.83333333333333
76,-1.3666666666666667,-79.9
21,-1.55,-80.01666666666667
103,-1.046111,-79.633611
100,-1.9333333333333333,-79.96666666666667
22,-1.8833333333333333,-80.16666666666667
215,-2.1166666666666667,-79.68333333333334
91,-1.65,-80.01666666666667
46,-2.2666666666666666,-79.65
12,-2.2,-79.42
26,-1.8833333333333333,-80.08333333333333
52,-1.9166666666666665,-80.01666666666667
35,-2.2,-79.17
