codigo,ciudad,latitud,longitud
903,BALAO,-2.9166666666666665,-79.81666666666666
904,BALZAR,-1.3666666666666667,-79.9
905,COLIMES,-1.55,-80.01666666666667
906,DAULE,-1.8666666666666667,-79.93333333333334
907,DURAN,-2.2,-79.83333333333333
909,EL TRIUNFO,-1.9333333333333333,-79.96666666666667
901,GUAYAQUIL,-2.1666666666666665,-79.9
928,ISIDRO AYORA,-1.8833333333333333,-80.16666666666667
924,LOMAS DE SARGENTILLO,-1.8833333333333333,-80.08333333333333
910,MILAGRO,-2.1166666666666667,-79.6
911,NARANJAL,-1.5,-79.9
912,NARANJITO,-2.216666666666667,-79.48333333333333
925,NOBOL,-1.9166666666666665,-80.01666666666667
913,PALESTINA,-1.6333333333333333,-79.96666666666667
914,PEDRO CARBO,-1.8333333333333335,-80.23333333333333
921,PLAYAS,-1.65,-80.01666666666667
916,SAMBORONDON,-1.95,-79.73333333333333
918,SANTA LUCIA,-1.7166666666666668,-79.96666666666667
922,SIMON BOLIVAR,-2.2666666666666666,-79.65
920,YAGUACHI,-2.1166666666666667,-79.68333333333334
927,ANTONIO ELIZALDE,-2.2,-79.17
923,MARCELINO MARIDUENA,-2.2,-79.42
908,EL EMPALME,-1.046111,-79.633611
902,JUJAN,-1.916667,-79.516667
902,URBINA JADO,-1.829444,
